id,clee,nom_estab,raz_soc,codigo_act,nombre_act,per_ocu,tipo_vial,nom_vial,numero_ext,numero_int,nomb_asent,cod_postal,cve_ent,entidad,cve_mun,municipio,telefono,correoelec,sitio_web,latitud,longitud,fecha_alta,rfc,representante_legal,cargo_representante,correo_directo,telefono_directo
1,2632540000001,MANUFACTURA INDUSTRIAL,MANUFACTURA INDUSTRIAL S.A.B. DE C.V.,3254,Fabricación de productos farmacéuticos y medicamentos,0 a 5 personas,Boulevard,Adolfo López Mateos,991,,Del Valle,26242,26,Sonora,018,Guaymas,9399547129,contacto@manufacturaindustr.mx,https://www.manufacturaindustr.mx,18.040113,-105.128891,2024-01-15,MAI130612RM4,Adriana Morales,Director de Finanzas,amorales@manufacturaindustr.mx,+529388471821
2,2446590000002,CONSULTORES MEXICANA 78,CONSULTORES MEXICANA 78 S.A.B. DE C.V.,4659,Comercio al por mayor de maquinaria y equipo industrial,251 y más personas,Calzada,Patriotismo,1321,,San Rafael,24559,24,San Luis Potosí,016,Soledad de Graciano Sánchez,6544754401,contacto@consultoresmexican.com,https://www.consultoresmexican.com,16.092538,-103.230822,2024-01-15,COM121028CVU,Eduardo López,Director General,elópez@consultoresmexican.com,+526595844599
3,0156160000003,CONSTRUCCIONES MODERNA 9,CONSTRUCCIONES MODERNA 9 S.A. DE C.V.,5616,"Servicios de seguridad privada, custodia y monitoreo satelital",11 a 30 personas,Paseo,5 de Mayo,664,,Del Valle,01557,01,Aguascalientes,004,Calvillo,6367530714,contacto@construccionesmode.mx,https://www.construccionesmode.mx,22.754532,-103.195183,2024-01-15,COM1906020MR,Patricia Hernández,Director de Tecnología,phernández@construccionesmode.mx,+526317392674
4,1432510000004,EQUIPOS Y SISTEMAS NACIONAL,EQUIPOS Y SISTEMAS NACIONAL S. DE R.L. DE C.V.,3251,Fabricación de productos químicos básicos y resinas sintéticas,101 a 250 personas,Paseo,5 de Mayo,270,Piso 10,Centro,14555,14,Jalisco,007,Tlaquepaque,3355315505,contacto@equiposysistemasna.mx,https://www.equiposysistemasna.mx,15.741018,-100.113856,2024-01-15,EQN9812281OQ,Jorge Alarcón,Director de Operaciones,jalarcón@equiposysistemasna.mx,+523327074153
5,3032510000005,PLASTICOS DE LAS AMERICAS,PLASTICOS DE LAS AMERICAS S. DE R.L. DE C.V.,3251,Fabricación de productos químicos básicos y resinas sintéticas,6 a 10 personas,Calzada,Industria Militar,422,,Zona Industrial,30817,30,Veracruz,014,Coatzacoalcos,5373682501,contacto@plasticosdelasamer.com.mx,https://www.plasticosdelasamer.com.mx,22.938793,-101.560661,2024-01-15,PLD18061987G,Claudia López,Director General,clópez@plasticosdelasamer.com.mx,+525371286959
6,2632540000006,EMPAQUES ESPECIALIZADA,EMPAQUES ESPECIALIZADA S.C.,3254,Fabricación de productos farmacéuticos y medicamentos,31 a 50 personas,Calle,Revolución,671,Piso 10,San Rafael,26147,26,Sonora,004,Hermosillo,4351853436,contacto@empaquesespecializ.com.mx,https://www.empaquesespecializ.com.mx,16.398035,-98.969022,2024-01-15,EME100911KZJ,Claudia Salinas,Director General,csalinas@empaquesespecializ.com.mx,+524388675229
7,0532510000007,FARMACEUTICA DEL PACIFICO,FARMACEUTICA DEL PACIFICO S.A.B. DE C.V.,3251,Fabricación de productos químicos básicos y resinas sintéticas,6 a 10 personas,Boulevard,Félix U. Gómez,4102,Piso 10,San Rafael,05498,05,Coahuila,004,Torreón,4965054111,contacto@farmaceuticadelpac.mx,https://www.farmaceuticadelpac.mx,16.267008,-104.678476,2024-01-15,FAD200424QPS,Claudia Mendoza,Director de Finanzas,cmendoza@farmaceuticadelpac.mx,+524999408915
8,3033230000008,INDUSTRIAS AVANZADA,INDUSTRIAS AVANZADA S.A.B. DE C.V.,3323,Fabricación de estructuras metálicas y pailería industrial,6 a 10 personas,Calzada,Insurgentes Sur,2057,,Parque Industrial Benito Juárez,30456,30,Veracruz,015,Xalapa,8855665675,contacto@industriasavanzada.com.mx,https://www.industriasavanzada.com.mx,16.551361,-103.678269,2024-01-15,INA100516UXX,Alejandro Ruiz,Director de Tecnología,aruiz@industriasavanzada.com.mx,+528820740902
9,1432610000009,FARMACEUTICA MEXICANA,FARMACEUTICA MEXICANA S.A.B. DE C.V.,3261,Fabricación de productos de plástico y polímeros para empaque,0 a 5 personas,Calle,Benito Juárez,3532,Piso 11,Roma Norte,14431,14,Jalisco,009,Guadalajara,3335436076,contacto@farmaceuticamexica.com,https://www.farmaceuticamexica.com,24.950582,-103.821944,2024-01-15,FAM010306RXA,Rodrigo Ruiz,Director de Finanzas,rruiz@farmaceuticamexica.com,+523370306934
10,2632510000010,GRUPO INDUSTRIAL NACIONAL 87,GRUPO INDUSTRIAL NACIONAL 87 S.A. DE C.V.,3251,Fabricación de productos químicos básicos y resinas sintéticas,251 y más personas,Av.,Manuel Ávila Camacho,1214,,Parque Industrial,26663,26,Sonora,015,Ciudad Obregón,9124065929,contacto@grupoindustrialnac.mx,https://www.grupoindustrialnac.mx,15.937753,-95.868037,2024-01-15,GRN080903RHQ,Alejandro Salinas,Director de Finanzas,asalinas@grupoindustrialnac.mx,+529191040948
11,1423820000011,LOGISTICA NACIONAL,LOGISTICA NACIONAL S.A.P.I. DE C.V.,2382,Instalaciones eléctricas y electromecánicas en construcciones,0 a 5 personas,Boulevard,Revolución,340,,Parque Industrial CIVAC,14861,14,Jalisco,019,Guadalajara,3321861217,contacto@logisticanacional.com,https://www.logisticanacional.com,16.007436,-99.172076,2024-01-15,LON140603Q1G,Daniel Vega,Director de Operaciones,dvega@logisticanacional.com,+523335825439
12,0932540000012,CONSTRUCCIONES DEL PACIFICO,CONSTRUCCIONES DEL PACIFICO S.A.P.I. DE C.V.,3254,Fabricación de productos farmacéuticos y medicamentos,101 a 250 personas,Boulevard,5 de Mayo,2178,Piso 13,Roma Norte,09839,09,Ciudad de México,013,Álvaro Obregón,5539830153,contacto@construccionesdelp.com,https://www.construccionesdelp.com,24.026704,-96.05057,2024-01-15,COD0510238LB,David López,Director General,dlópez@construccionesdelp.com,+525547135192
